month,Addiction,ADHD,Alcoholism,Aleppo,Amazon rainforest,Anger management,Anorexia,Anxiety,Australia fires,Bahamas,Bees,Beirut,Bipolar,Black Lives Matter,BPD,Breakup,Bulimia,Cancer,Climate change,Coronavirus,Depression,Eating disorder,Flint Michigan,Flood,Fort McMurray,Grief,Haiti,Hoarding,Homelessness,Houston,Hurricane Harvey,India,Kerala,Las Vegas,Louisiana,Mental illness,Migrant children,Narcissism,Nepal,OCD,Orlando,Palestine,Panic attack,Paris,Poverty,PTSD,Puerto Rico,Quitting smoking,Rape,Refugee,Schizophrenia,Seizure,Self harm,Self-esteem,"Shortness of breath, covid",Standing Rock,Sudan,Suicidal ideation,Syria,Texas,Wildfire,Yemen
Jan 2015,11.29,4.65,8.63,0.00,0.00,0.66,1.99,1.66,0.66,0.33,0.33,0.00,2.66,0.00,1.00,5.64,1.33,3.65,0.00,0.00,37.18,1.00,0.00,0.66,0.00,4.98,0.00,1.00,2.99,0.00,0.00,2.32,0.00,0.33,0.33,1.33,0.00,0.33,0.00,0.66,0.66,0.33,4.98,0.00,2.99,1.66,0.00,1.99,1.33,1.33,1.99,0.66,1.99,1.66,0.00,0.00,0.33,0.33,0.66,1.00,0.00,0.00
Feb 2015,7.49,3.57,6.78,0.00,0.00,0.36,1.43,1.07,0.00,0.00,0.00,0.00,4.28,0.00,0.71,5.35,0.71,5.71,0.00,0.00,33.89,0.71,0.00,0.00,0.00,5.35,0.36,0.71,4.28,0.00,0.00,1.43,0.00,0.00,0.36,4.64,0.00,0.00,0.00,2.50,0.36,0.00,6.42,0.00,1.43,3.21,0.00,1.78,1.43,1.43,1.43,1.43,3.57,2.85,0.00,0.00,0.36,0.36,0.71,1.43,0.00,0.00
Mar 2015,12.96,4.54,7.45,0.00,0.00,1.30,3.24,0.65,0.00,0.00,0.32,0.00,2.27,0.00,0.97,4.54,0.65,2.27,0.00,0.00,35.64,2.27,0.00,0.32,0.00,3.89,0.00,0.32,6.48,0.00,0.00,1.30,0.00,0.00,0.32,2.92,0.32,0.65,0.00,2.27,0.65,0.00,4.86,0.32,3.56,1.94,0.00,1.62,1.94,1.62,2.27,1.94,2.27,4.21,0.00,0.00,0.00,0.32,1.30,2.92,0.00,0.00
Apr 2015,11.07,6.04,4.36,0.00,0.00,0.67,2.01,1.34,0.00,0.00,0.00,0.00,3.35,0.00,0.67,3.35,1.34,3.35,0.00,0.00,35.56,2.68,0.00,0.00,0.00,4.03,0.34,2.01,4.03,1.01,0.00,3.69,0.34,0.67,0.34,2.35,0.00,0.67,19.79,2.35,0.34,0.00,6.71,0.34,2.35,1.68,0.00,1.01,0.67,0.67,0.67,1.34,1.68,3.69,0.00,0.00,0.00,0.34,1.34,1.01,0.00,0.00
May 2015,10.71,4.54,5.84,0.00,0.32,0.97,0.97,1.95,0.00,0.00,0.32,0.00,3.57,0.00,1.62,2.60,0.65,4.54,0.00,0.00,32.12,2.27,0.00,1.30,0.00,3.89,0.00,0.97,3.57,1.30,0.00,1.62,0.32,0.65,0.32,4.22,0.00,0.65,6.81,1.95,0.00,0.00,6.81,0.00,3.24,1.95,0.00,1.95,0.65,0.32,1.95,1.30,4.54,3.89,0.00,0.00,0.00,0.65,0.32,3.24,0.00,0.00
Jun 2015,11.93,3.31,6.96,0.00,0.00,0.33,0.99,0.66,0.00,0.00,0.33,0.00,2.32,0.00,0.99,4.97,0.33,2.65,0.00,0.00,31.82,1.33,0.00,0.66,0.00,6.30,0.66,0.33,4.97,0.66,0.00,0.66,0.00,0.00,0.66,1.99,0.00,0.33,0.99,2.65,0.33,0.00,3.65,0.00,1.99,0.99,0.00,1.66,1.66,0.66,2.32,2.65,2.32,2.32,0.00,0.00,0.00,0.00,0.33,3.65,0.33,0.00
Jul 2015,14.91,4.86,10.37,0.00,0.00,0.97,2.27,0.65,0.00,0.00,0.65,0.00,3.89,0.00,0.97,1.30,0.97,2.27,0.00,0.00,35.99,2.92,0.00,0.32,0.00,4.21,0.32,0.97,3.57,0.32,0.00,0.32,0.00,0.97,0.00,2.59,0.00,0.00,0.65,0.32,0.00,0.00,5.51,0.00,2.27,2.92,0.00,0.97,0.65,1.95,1.95,1.62,1.30,2.27,0.00,0.00,0.00,0.32,0.97,1.30,0.00,0.00
Aug 2015,8.68,2.89,7.07,0.00,0.00,0.96,1.29,1.29,0.00,0.00,0.64,0.00,3.86,0.00,1.93,5.46,1.29,2.25,0.00,0.00,35.03,0.96,0.00,0.96,0.00,4.18,0.00,0.96,4.82,0.64,0.00,0.96,0.00,0.64,0.32,3.21,0.00,1.29,0.32,1.29,0.32,0.00,6.43,0.00,1.61,1.93,0.64,3.54,1.61,6.75,1.29,0.96,2.57,0.96,0.00,0.00,0.00,0.32,2.57,0.64,0.96,0.00
Sep 2015,11.58,5.95,5.32,0.00,0.00,0.63,2.50,2.82,0.00,0.00,0.63,0.00,4.38,0.00,1.57,5.95,0.31,3.76,0.00,0.00,43.21,1.88,0.00,0.63,0.00,4.38,0.00,2.50,3.76,0.94,0.00,1.57,0.00,0.31,0.31,1.88,0.31,0.94,0.63,2.19,0.31,0.00,5.95,0.00,4.07,2.19,0.31,2.50,2.19,56.98,0.31,1.25,0.63,2.19,0.00,0.00,0.00,0.31,41.96,2.82,0.00,0.00
Oct 2015,10.71,4.76,6.84,0.00,0.00,0.59,1.49,2.68,0.00,0.00,0.00,0.00,5.35,0.00,1.49,3.57,0.59,2.38,0.00,0.00,35.98,2.08,0.00,2.97,0.00,2.38,0.30,1.19,6.54,1.19,0.00,1.78,0.00,0.00,0.59,4.16,0.00,0.30,0.30,2.08,0.00,0.30,6.25,0.00,3.87,2.68,0.00,1.78,1.49,7.43,2.08,0.59,2.38,2.68,0.00,0.00,0.00,0.30,4.76,1.19,0.00,0.00
