month,Addiction,ADHD,Alcoholism,Aleppo,Amazon rainforest,Anger management,Anorexia,Anxiety,Australia fires,Bahamas,Bees,Beirut,Bipolar,Black Lives Matter,BPD,Breakup,Bulimia,Cancer,Climate change,Coronavirus,Depression,Eating disorder,Flint Michigan,Flood,Fort McMurray,Grief,Haiti,Hoarding,Homelessness,Houston,Hurricane Harvey,India,Kerala,Las Vegas,Louisiana,Mental illness,Migrant children,Narcissism,Nepal,OCD,Orlando,Palestine,Panic attack,Paris,Poverty,PTSD,Puerto Rico,Quitting smoking,Rape,Refugee,Schizophrenia,Seizure,Self harm,Self-esteem,"Shortness of breath, covid",Standing Rock,Sudan,Suicidal ideation,Syria,Texas,Wildfire,Yemen
Jan 2015,71.82,48.01,74.28,0.00,0.00,17.14,59.12,21.43,2.64,1.73,15.03,0.00,34.28,0.00,25.71,69.25,57.90,60.59,#DIV/0!,0.00,73.84,8.57,0.00,4.45,0.00,50.86,0.00,32.04,26.10,0.00,0.00,7.50,0.00,2.51,1.96,16.99,0.00,25.82,0.00,13.58,6.81,40.05,21.43,0.00,51.18,30.87,0.00,56.34,17.14,2.33,51.42,19.18,43.85,34.07,0.00,0.00,3.08,8.57,1.58,4.05,0.00,0.00
Feb 2015,47.67,36.86,58.34,0.00,0.00,9.21,42.36,13.82,0.00,0.00,0.00,0.00,55.27,0.00,18.42,65.67,31.12,94.71,#DIV/0!,0.00,67.31,6.14,0.00,0.00,0.00,54.66,3.65,22.96,37.41,0.00,0.00,4.61,0.00,0.00,2.10,59.35,0.00,0.00,0.00,51.07,3.66,0.00,27.63,0.00,24.45,59.71,0.00,50.46,18.42,2.50,36.85,41.22,78.54,58.58,0.00,0.00,3.31,9.21,1.70,5.81,0.00,0.00
Mar 2015,82.47,46.86,64.14,0.00,0.00,33.46,96.18,8.37,0.00,0.00,14.67,0.00,29.28,0.00,25.10,55.66,28.26,37.64,#DIV/0!,0.00,70.79,19.52,0.00,2.17,0.00,39.72,0.00,10.42,56.62,0.00,0.00,4.18,0.00,0.00,1.91,37.32,1.33,50.41,0.00,46.39,6.65,0.00,20.92,2.65,61.06,36.15,0.00,45.83,25.10,2.84,58.56,56.15,49.93,86.46,0.00,0.00,0.00,8.37,3.09,11.87,0.00,0.00
Apr 2015,70.44,62.38,37.53,0.00,0.00,17.32,59.75,17.32,0.00,0.00,0.00,0.00,43.31,0.00,17.32,41.17,58.52,55.66,#DIV/0!,0.00,70.63,23.10,0.00,0.00,0.00,41.12,3.43,64.76,35.17,2.33,0.00,11.91,2.68,5.07,1.98,30.05,0.00,52.19,100.00,48.03,3.44,0.00,28.87,2.74,40.23,31.19,0.00,28.47,8.66,1.18,17.32,38.76,36.93,75.74,0.00,0.00,0.00,8.66,3.20,4.10,0.00,0.00
May 2015,68.13,46.93,50.27,0.00,1.48,25.13,28.89,25.13,0.00,0.00,14.69,0.00,46.08,0.00,41.89,31.85,28.30,75.37,#DIV/0!,0.00,63.80,19.55,0.00,8.70,0.00,39.77,0.00,31.32,31.19,3.00,0.00,5.24,2.60,4.90,1.91,53.98,0.00,50.48,34.43,39.82,0.00,0.00,29.32,0.00,55.59,36.20,0.00,55.07,8.38,0.57,50.27,37.49,100.00,79.92,0.00,0.00,0.00,16.76,0.77,13.20,0.00,0.00
Jun 2015,75.94,34.25,59.91,0.00,0.00,8.56,29.52,8.56,0.00,0.00,15.01,0.00,29.96,0.00,25.68,61.02,14.46,44.00,#DIV/0!,0.00,63.21,11.41,0.00,4.44,0.00,64.33,6.78,10.66,43.45,1.53,0.00,2.14,0.00,0.00,3.91,25.45,0.00,25.79,5.02,54.24,3.40,0.00,15.69,0.00,34.08,18.49,0.00,46.88,21.40,1.16,59.91,76.60,51.08,47.63,0.00,0.00,0.00,0.00,0.79,14.84,6.05,0.00
Jul 2015,94.90,50.24,89.29,0.00,0.00,25.11,67.37,8.37,0.00,0.00,29.36,0.00,50.23,0.00,25.11,15.91,42.42,37.66,#DIV/0!,0.00,71.48,25.11,0.00,2.17,0.00,43.05,3.32,31.29,31.16,0.75,0.00,1.05,0.00,7.34,0.00,33.19,0.00,0.00,3.28,6.63,0.00,0.00,23.72,0.00,38.88,54.27,0.00,27.51,8.37,3.41,50.23,46.82,28.55,46.58,0.00,0.00,0.00,8.37,2.32,5.28,0.00,0.00
Aug 2015,55.22,29.88,60.85,0.00,0.00,24.89,38.16,16.60,0.00,0.00,29.11,0.00,49.79,0.00,49.79,67.04,56.06,37.33,#DIV/0!,0.00,69.58,8.30,0.00,6.46,0.00,42.68,0.00,31.02,42.12,1.49,0.00,3.11,0.00,4.85,1.90,41.13,0.00,100.00,1.62,26.29,3.30,0.00,27.66,0.00,27.53,35.86,1.45,100.00,20.75,11.84,33.19,27.85,56.60,19.79,0.00,0.00,0.00,8.30,6.13,2.62,17.59,0.00
Sep 2015,73.72,61.46,45.81,0.00,0.00,16.17,74.36,36.38,0.00,0.00,28.36,0.00,56.59,0.00,40.42,73.00,13.66,62.35,#DIV/0!,0.00,85.82,16.17,0.00,4.20,0.00,44.78,0.00,80.59,32.83,2.17,0.00,5.05,0.00,2.36,1.85,24.04,1.28,73.07,3.16,44.83,3.21,0.00,25.60,0.00,69.74,40.76,0.71,70.85,28.30,100.00,8.08,36.18,13.79,44.99,0.00,0.00,0.00,8.08,100.00,11.47,0.00,0.00
Oct 2015,68.13,49.16,58.87,0.00,0.00,15.36,44.14,34.55,0.00,0.00,0.00,0.00,69.11,0.00,38.39,43.79,25.94,39.48,#DIV/0!,0.00,71.47,17.92,0.00,19.93,0.00,24.30,3.04,38.27,57.17,2.75,0.00,5.76,0.00,0.00,3.51,53.28,0.00,23.13,1.50,42.58,0.00,35.88,26.88,0.00,66.24,49.78,0.00,50.47,19.20,13.05,53.75,17.18,52.38,54.94,0.00,0.00,0.00,7.68,11.34,4.84,0.00,0.00
Nov 2015,89.64,56.95,68.53,0.00,0.00,23.72,100.00,23.72,0.00,0.00,0.00,10.83,23.72,0.00,71.17,48.85,26.71,60.98,#DIV/0!,0.00,72.38,23.72,0.00,4.10,0.00,50.05,3.13,39.41,80.28,2.13,0.00,4.94,0.00,0.00,3.61,50.95,0.00,0.00,1.55,43.84,0.00,0.00,34.26,100.00,99.69,45.56,0.00,25.99,47.44,76.85,23.72,53.07,40.45,81.72,0.00,0.00,0.00,7.91,83.94,12.46,0.00,0.00
Dec 2015,50.77,66.57,79.23,0.00,0.00,15.85,36.43,43.58,1.22,0.00,0.00,0.00,55.46,0.00,47.54,75.31,66.91,50.92,#DIV/0!,0.00,71.91,26.41,0.00,47.29,0.00,50.15,0.00,59.23,96.52,0.00,0.00,2.97,0.00,2.32,0.00,47.12,0.00,47.74,0.00,31.38,0.00,0.00,40.93,0.00,57.83,34.24,0.00,52.08,11.88,33.38,23.77,35.45,33.78,25.19,0.00,0.00,0.00,15.85,33.64,12.49,0.00,0.00
Jan 2016,55.84,48.57,91.72,0.00,0.00,0.00,74.43,20.23,1.25,0.00,28.39,0.00,32.37,0.00,16.19,100.00,27.34,46.81,#DIV/0!,0.00,72.21,16.19,100.00,2.10,0.00,41.62,6.41,70.59,38.34,2.18,0.00,6.07,0.00,2.37,1.85,60.17,0.00,24.38,0.00,25.64,3.22,0.00,20.23,2.56,64.44,40.80,0.00,26.60,36.42,10.45,64.74,27.16,34.50,45.03,0.00,0.00,0.00,8.09,15.69,3.83,0.00,0.00
Feb 2016,93.09,50.38,55.96,0.00,0.00,25.18,38.60,12.59,0.00,0.00,14.72,0.00,46.16,0.00,16.79,55.85,42.53,80.91,#DIV/0!,0.00,52.30,25.18,97.24,2.18,0.00,36.53,3.32,52.29,25.56,1.50,0.00,4.20,0.00,0.00,3.83,58.24,0.00,0.00,3.28,46.54,3.34,39.22,39.17,2.65,61.27,66.50,0.00,82.76,16.79,7.42,41.97,28.17,57.25,40.04,0.00,0.00,0.00,0.00,8.52,11.91,0.00,0.00
Mar 2016,96.17,57.35,39.82,0.00,0.00,15.93,64.09,11.95,0.00,1.60,13.97,0.00,55.75,0.71,31.85,26.49,0.00,71.65,#DIV/0!,0.00,72.90,2.65,49.20,0.00,3.20,63.01,0.00,39.69,29.64,0.71,0.00,4.98,0.00,2.33,0.00,51.31,0.00,47.98,0.00,31.54,3.17,0.00,27.87,0.00,36.99,40.15,0.70,43.62,11.95,14.07,55.75,8.91,40.74,63.31,0.00,0.00,0.00,15.93,10.29,3.77,0.00,0.00
Apr 2016,86.75,52.41,40.93,0.00,0.00,0.00,28.24,20.47,0.00,0.00,28.71,0.00,28.65,0.00,16.37,58.36,13.83,63.13,#DIV/0!,0.00,72.42,8.19,0.00,10.62,0.00,80.96,0.00,0.00,41.56,3.67,0.00,3.07,0.00,2.39,1.87,16.23,0.00,73.99,3.20,51.88,0.00,0.00,31.38,0.00,59.75,64.86,0.71,44.84,24.56,9.46,32.75,45.79,41.88,52.06,0.00,0.00,0.00,0.00,5.29,6.45,5.78,0.00
May 2016,67.31,54.64,77.65,0.00,2.84,16.07,73.88,44.18,0.00,0.00,28.17,0.00,64.26,0.00,16.07,49.63,40.70,72.27,#DIV/0!,0.00,59.94,13.39,0.00,4.17,100.00,50.84,0.00,30.03,57.08,0.72,0.00,6.02,0.00,4.70,0.00,39.81,0.00,0.00,1.57,44.54,0.00,0.00,24.10,0.00,85.28,46.28,2.10,44.00,8.03,6.01,32.13,44.93,20.55,63.86,0.00,0.00,2.89,0.00,6.67,5.06,11.35,0.00
Jun 2016,55.80,40.27,78.27,0.00,0.00,41.93,77.13,16.77,0.00,0.00,14.71,0.00,37.74,0.00,16.77,63.77,14.16,37.73,#DIV/0!,0.00,64.51,11.18,0.00,17.41,6.74,53.08,0.00,52.25,53.92,0.75,0.00,2.10,0.00,0.00,0.00,54.04,0.00,25.27,0.00,33.21,100.00,0.00,33.54,0.00,66.78,60.40,0.00,9.19,29.35,5.13,33.54,56.29,21.45,100.00,0.00,0.00,3.01,0.00,6.97,9.25,0.00,0.00
Jul 2016,61.74,27.65,60.47,0.00,1.53,8.64,29.79,38.87,0.00,0.00,60.60,0.00,56.15,3.08,17.28,49.27,72.95,83.27,#DIV/0!,0.00,59.80,5.76,13.34,0.00,0.00,23.92,0.00,43.05,52.62,0.00,0.00,8.64,0.00,0.00,3.95,47.10,0.00,0.00,1.69,41.06,3.43,40.36,35.99,2.73,45.86,56.00,0.00,56.78,25.92,4.70,43.19,38.65,29.46,41.20,0.00,0.00,0.00,0.00,5.58,4.08,0.00,0.00
Aug 2016,47.48,45.55,64.22,2.30,0.00,8.76,30.21,35.03,0.00,0.00,30.72,0.00,43.79,0.00,35.03,62.43,14.79,50.65,#DIV/0!,0.00,59.96,11.68,0.00,100.00,0.00,48.50,0.00,21.83,50.38,0.00,0.00,6.57,0.00,0.00,100.00,30.39,0.00,52.77,0.00,20.81,0.00,0.00,32.11,2.77,58.11,12.62,0.00,57.57,21.89,11.31,35.03,88.17,14.93,13.92,0.00,0.00,0.00,8.76,20.21,4.14,0.00,0.00
Sep 2016,52.51,88.65,42.61,3.36,0.00,8.52,58.79,25.57,0.00,0.00,14.95,0.00,42.61,0.00,25.57,85.05,43.18,43.81,#DIV/0!,0.00,71.45,8.52,13.16,4.42,0.00,43.83,3.37,31.86,40.38,1.53,0.00,4.26,2.64,0.00,7.78,25.34,0.00,0.00,1.67,40.50,3.39,0.00,36.93,0.00,22.62,79.79,0.00,56.02,12.78,12.74,76.70,47.67,0.00,60.97,0.00,7.42,0.00,0.00,16.52,1.34,0.00,14.98
